from,starting label,QID,label,depth,target
Q1634926,Hugo Cassirer,Q48976445,Le Palais Ducal,5,1
Q1634926,Hugo Cassirer,Q18347243,Lefevre Gallery,5,1
Q867510,Cypresses,Q18347243,Lefevre Gallery,3,1
Q26221201,Two Diggers among Trees,Q18347243,Lefevre Gallery,5,1
Q1634926,Hugo Cassirer,Q19098835,Library of the World's Best Literature,5,0
Q160236,Metropolitan Museum of Art,Q19098835,Library of the World's Best Literature,3,0
Q74128,Alfred Flechtheim,Q19098835,Library of the World's Best Literature,5,0
Q657415,Cleveland Museum of Art,Q19098835,Library of the World's Best Literature,3,0
Q1634926,Hugo Cassirer,Q53092134,Lilly Cassirer,5,1
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q49870534,Madame Cézanne in a Red Dress,2,1
Q55680361,Oskar Reichel,Q49870534,Madame Cézanne in a Red Dress,5,1
Q74128,Alfred Flechtheim,Q49870534,Madame Cézanne in a Red Dress,1,1
Q160236,Metropolitan Museum of Art,Q3189169,Julie Bonaparte,4,0
Q214867,National Gallery of Art,Q22954841,,5,0
Q160236,Metropolitan Museum of Art,Q275336,"John Stuart, 1st Marquess of Bute",5,0
Q214867,National Gallery of Art,Q22954842,,5,0
Q17277888,Gottlieb Friedrich Reber,Q72961007,Margaret Silberman,4,1
Q55680361,Oskar Reichel,Q72961007,Margaret Silberman,4,1
Q74128,Alfred Flechtheim,Q90554,"Margit Thyssen-Bornemisza, Countess of Batthyány",5,1
Q1634926,Hugo Cassirer,Q99413897,Medvik,3,0
Q867510,Cypresses,Q99413897,Medvik,5,0
Q21948567,Sunflowers,Q99413897,Medvik,5,0
Q17277888,Gottlieb Friedrich Reber,Q99413897,Medvik,5,0
Q55680361,Oskar Reichel,Q99413897,Medvik,5,0
Q74128,Alfred Flechtheim,Q99413897,Medvik,5,0
Q21948567,Sunflowers,Q11774156,memoirist,5,0
Q160236,Metropolitan Museum of Art,Q11774156,memoirist,4,0
Q160236,Metropolitan Museum of Art,Q95948198,Meyers Conversations-Lexicon,5,0
Q214867,National Gallery of Art,Q95948198,Meyers Conversations-Lexicon,5,0
Q214867,National Gallery of Art,Q19219752,"Meyers Konversations-Lexikon, 4th edition (1885–1890)",4,0
Q160236,Metropolitan Museum of Art,Q17010072,militant,5,0
Q17277888,Gottlieb Friedrich Reber,Q47064,military personnel,4,0
Q17277888,Gottlieb Friedrich Reber,Q219477,missionary,4,0
Q1634926,Hugo Cassirer,Q4610556,model,5,0
Q214867,National Gallery of Art,Q116,monarch,5,0
Q867510,Cypresses,Q49246672,Mount of Sainte-Victoire,4,1
Q104530765,Hugo Nathan,Q49246672,Mount of Sainte-Victoire,5,1
Q867510,Cypresses,Q12954454,Nathan Wildenstein,4,1
Q104530765,Hugo Nathan,Q12954454,Nathan Wildenstein,3,1
Q26221201,Two Diggers among Trees,Q12954454,Nathan Wildenstein,4,1
Q17277888,Gottlieb Friedrich Reber,Q1066835,New York World,5,0
Q867510,Cypresses,Q28837176,Heilbrunn Timeline of Art History,1,0
Q1634926,Hugo Cassirer,Q94763749,Hedwig Fischer,4,1
Q1634926,Hugo Cassirer,Q21171699,Hedwig Cassirer,4,1
Q17277888,Gottlieb Friedrich Reber,Q22083543,,4,0
Q17277888,Gottlieb Friedrich Reber,Q110952532,,4,0
Q17277888,Gottlieb Friedrich Reber,Q58366813,1877 State Calendar of Sweden,5,0
Q17277888,Gottlieb Friedrich Reber,Q21600495,,5,0
Q214867,National Gallery of Art,Q5460604,Wikipedia:List of articles all languages should have,5,0
Q160236,Metropolitan Museum of Art,Q327240,Norton Simon,5,1
Q214867,National Gallery of Art,Q3345156,Nouvelle Biographie Générale,5,0
Q160236,Metropolitan Museum of Art,Q191808,nun,4,0
Q160236,Metropolitan Museum of Art,Q3346473,Nureyev,5,0
Q160236,Metropolitan Museum of Art,Q27979252,Nymph and Hunter,5,0
Q1634926,Hugo Cassirer,Q67311526,Obalky knih.cz,3,0
Q867510,Cypresses,Q67311526,Obalky knih.cz,4,0
Q104530765,Hugo Nathan,Q67311526,Obalky knih.cz,5,0
Q21948567,Sunflowers,Q67311526,Obalky knih.cz,5,0
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q67311526,Obalky knih.cz,4,0
Q17277888,Gottlieb Friedrich Reber,Q67311526,Obalky knih.cz,2,0
Q29441758,Margarete Mauthner,Q67311526,Obalky knih.cz,3,0
Q324935,Ferenc Hatvany,Q67311526,Obalky knih.cz,3,0
Q55680361,Oskar Reichel,Q67311526,Obalky knih.cz,5,0
Q160236,Metropolitan Museum of Art,Q67311526,Obalky knih.cz,3,0
Q214867,National Gallery of Art,Q67311526,Obalky knih.cz,3,0
Q74128,Alfred Flechtheim,Q67311526,Obalky knih.cz,3,0
Q160236,Metropolitan Museum of Art,Q1225716,ornithologist,4,0
Q17277888,Gottlieb Friedrich Reber,Q19754058,Otto Kallir,4,1
Q55680361,Oskar Reichel,Q19754058,Otto Kallir,2,1
Q74128,Alfred Flechtheim,Q19754058,Otto Kallir,4,1
Q21948567,Sunflowers,Q2041543,Ottův slovník naučný,5,0
Q1634926,Hugo Cassirer,Q17378135,Great Soviet Encyclopedia (1969–1978),5,0
Q21948567,Sunflowers,Q17378135,Great Soviet Encyclopedia (1969–1978),5,0
Q17277888,Gottlieb Friedrich Reber,Q17378135,Great Soviet Encyclopedia (1969–1978),2,0
Q55680361,Oskar Reichel,Q17378135,Great Soviet Encyclopedia (1969–1978),5,0
Q11770767,Still life with coffee pot  dishes and fruit,Q17378135,Great Soviet Encyclopedia (1969–1978),2,0
Q74128,Alfred Flechtheim,Q17378135,Great Soviet Encyclopedia (1969–1978),5,0
Q867510,Cypresses,Q20078554,Great Soviet Encyclopedia (1926–1947),4,0
Q17277888,Gottlieb Friedrich Reber,Q20078554,Great Soviet Encyclopedia (1926–1947),5,0
Q55680361,Oskar Reichel,Q20078554,Great Soviet Encyclopedia (1926–1947),5,0
Q657415,Cleveland Museum of Art,Q20078554,Great Soviet Encyclopedia (1926–1947),3,0
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q2041543,Ottův slovník naučný,5,0
Q17277888,Gottlieb Friedrich Reber,Q2041543,Ottův slovník naučný,4,0
Q1634926,Hugo Cassirer,Q4532138,Granat Encyclopedic Dictionary,5,0
Q17277888,Gottlieb Friedrich Reber,Q4532138,Granat Encyclopedic Dictionary,4,0
Q11770767,Still life with coffee pot  dishes and fruit,Q4532138,Granat Encyclopedic Dictionary,2,0
Q160236,Metropolitan Museum of Art,Q4532138,Granat Encyclopedic Dictionary,3,0
Q1201549,Detroit Institute of Arts,Q4532138,Granat Encyclopedic Dictionary,3,0
Q214867,National Gallery of Art,Q4532138,Granat Encyclopedic Dictionary,4,0
Q74128,Alfred Flechtheim,Q4532138,Granat Encyclopedic Dictionary,4,0
Q11770767,Still life with coffee pot  dishes and fruit,Q2041543,Ottův slovník naučný,5,0
Q1634926,Hugo Cassirer,Q104520680,Göring's man in Paris : the story of a Nazi art plunderer and his world,5,1
Q160236,Metropolitan Museum of Art,Q104520680,Göring's man in Paris : the story of a Nazi art plunderer and his world,5,1
Q160236,Metropolitan Museum of Art,Q1528420,Giuseppe Maria Buonaparte,4,0
Q160236,Metropolitan Museum of Art,Q2041543,Ottův slovník naučný,3,0
Q3783572,Harvard Art Museums,Q2041543,Ottův slovník naučný,2,0
Q26221184,Olive Picking,Q2041543,Ottův slovník naučný,4,0
Q214867,National Gallery of Art,Q2041543,Ottův slovník naučný,5,0
Q74128,Alfred Flechtheim,Q2041543,Ottův slovník naučný,5,0
Q160236,Metropolitan Museum of Art,Q178513,Paris Bourse,5,0
Q17277888,Gottlieb Friedrich Reber,Q152002,pastor,4,0
Q104530765,Hugo Nathan,Q47310686,Paul Cailleux,5,1
Q1634926,Hugo Cassirer,Q1138524,Paulys Realenzyklopädie der klassischen Altertumswissenschaft,5,0
Q160236,Metropolitan Museum of Art,Q1138524,Paulys Realenzyklopädie der klassischen Altertumswissenschaft,4,0
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q5488972,Frank Perls,5,1
Q74128,Alfred Flechtheim,Q5488972,Frank Perls,4,1
Q1634926,Hugo Cassirer,Q19906011,Peasant Woman Cooking by a Fireplace,5,1
Q160236,Metropolitan Museum of Art,Q105186,pharmacist,5,0
Q26221184,Olive Picking,Q12362622,philanthropist,4,0
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q4964182,philosopher,5,0
Q74128,Alfred Flechtheim,Q4964182,philosopher,4,0
Q214867,National Gallery of Art,Q33231,photographer,5,0
Q20178788,Still Life with Apples,Q4808368,Femme nue couchée,2,1
Q867510,Cypresses,Q49757,poet,3,0
